name,brand,image_url,gender,notes,emotion_tags,season_tags,time_tags,brand_tag
1 Million Lucky,PACO RABANNE,https://www.sephora.com/productimages/sku/s2038354-main-zoom.jpg,men,"Oakmoss, Patchouli and Vetiver, Hazelnut, Jasmine, Cashmir Wood, Cedar and Honey",energetic,spring,night,PACO RABANNE
Paradiso Assoluto,Roberto Cavalli,"https://m.media-amazon.com/images/I/91HRmV6OE5L._AC_UF1000,1000_QL80_.jpg",women,"Vanilla, Sandalwood And Patchouli, Wild Jasmine and Red Lily",romantic,fall,night,Roberto Cavalli
Royal Amber,S.T.Dupont,https://fimgs.net/mdimg/perfume/375x500.43063.jpg,unisex,"Lemon, Mint and Wood Moss, Sandalwood and Cedar",energetic,spring,night,S.T.Dupont
Seductive Blue,GUESS,"https://m.media-amazon.com/images/I/71Wrn+zAmmL._AC_UF1000,1000_QL80_.jpg",men,"Cashmere Wood, Moss And Rippled Sand Accord, Blue Coral Aquaspace Accord And Geranium",energetic,spring,night,GUESS
Uomo,Roberto Cavalli,https://m.media-amazon.com/images/I/81LiK-Yh6hL.jpg,women,"Vanille, Benzoin, Tonka Bean, African Orange Flower",romantic,fall,night,Roberto Cavalli
cavalli,Roberto Cavalli,https://www.robertocavalli.com/dw/image/v2/BLPR_PRD/on/demandware.static/-/Sites-50/default/dwcd6f0431/images/zoom/SAW018SA026E0293_ECOM_DETAIL2.jpg?strip=false,women,"Vanille, Benzoin, Tonka Bean, African Orange Flower",romantic,fall,night,Roberto Cavalli
The Scent,HUGO BOSS,https://images.hugoboss.com/is/image/boss/hbna58045781_999_200?$social_sharing$,women,"Roasted Cocoa, Lavender, Osmanthus Flower",romantic,fall,night,HUGO BOSS
Gold Secret,DORALL COLLECTION,https://m.media-amazon.com/images/I/61TG3Kqcf8L.jpg,men,"Labdanum and Musk, Lavender and Cloves",sensual,spring,night,DORALL COLLECTION
Bamboo,GUCCI,"https://m.media-amazon.com/images/I/71MWz+v1bJL._AC_UF1000,1000_QL80_.jpg",women,"Sandalwood, Casablanca Lily and Ylang Ylang Extra-Comoros",romantic,fall,night,GUCCI
M7 Oud Absolu,Yves Saint Laurent,"https://m.media-amazon.com/images/I/61tRclmMXVL._AC_UF1000,1000_QL80_.jpg",men,"Cistus, Myrrh, Oud, Amber, Patchouli",energetic,spring,night,Yves Saint Laurent
1881,CERRUTI 1881,https://m.media-amazon.com/images/I/91auQcINY0L.jpg,men,"Musk, Sandalwood, Patchouli, Oak Moss, Cedar, Pepper And Pine Tree, Vetiver, Ylang-Ylang, Rose, Lily-Of-The-Valley And Cassia",energetic,spring,day,CERRUTI 1881
IN 2 U MEN,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-CK-IN2U-Him-eau-de-toilette-spray-5-0-oz_5a80f907-e329-4e62-b70e-96f11cc7d7b7.3f00ea1d8989be463da33f098ed09f2b.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,men,"White Musk, Vetiver and Cedar, Cacao Pod",energetic,spring,day,Calvin Klein
Royale Blue,Rasasi,"https://m.media-amazon.com/images/I/51FQPFvr9DL._AC_UF1000,1000_QL80_.jpg",men,"Delicate Musky Sensual Woods, Distinct and Exotic",sensual,spring,night,Rasasi
Black Oud,MONTALE,https://montaleparfums.us/cdn/shop/products/black-aoud-noir_3f876d96-2fdd-4cdf-a182-d4a7789c61b6.png?v=1644350447,men,"Mandarin Orange, Agarwood, Musk, Patchouli",romantic,spring,night,MONTALE
L'Homme,Yves Saint Laurent,https://www.sephora.com/productimages/sku/s987925-main-zoom.jpg,men,"Tonka Bean, Tahitian Vetiver, Cedar, Spices, White Pepper, Basil, Violet Leaf",energetic,spring,night,Yves Saint Laurent
Love Story,CHLOE,https://www.sephora.com/productimages/sku/s1659390-main-zoom.jpg,women,"Musk, Cedar, Cashmirwood, Patchouli, Orange Blossom, Stephanotis, Rose, Black Currant, Peach",romantic,fall,night,CHLOE
Narciso Rouge,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/71EpJ-MFWkL.jpg,women,"Cedar Wood, Tonka Beans, Vetiver, Musk",sensual,fall,night,NARCISO RODRIGUEZ
24 Pure,DORALL COLLECTION,https://m.media-amazon.com/images/I/71mWW+MCIHL.jpg,men,"Amber, Musk, Sandalwood, Coumarin, Vanilla, Pink Pepper, Cardomon, Cinnamon, Jasmin, Cumin, Red Fruits, Lily, Nutmeg",energetic,spring,day,DORALL COLLECTION
Romance,Rasasi,"https://m.media-amazon.com/images/I/71rx9MwsktL._AC_UF1000,1000_QL80_.jpg",women,"Amber, Musk, Powdery Notes, Cedar and Sandalwood, Rose,Jasmine",romantic,fall,night,Rasasi
Quatre,BOUCHERON,https://i5.walmartimages.com/seo/Boucheron-Quatre-Eau-de-Parfum-Perfume-for-Women-3-3-Oz_c2b82830-7b6b-4919-af94-4c3d2586a855.8fda5defc012b14c66692803f01ea91a.jpeg,women,"Golden Woods Musk, Sambac Jasmine Absolute, Rose Absolute",romantic,fall,night,BOUCHERON
Narciso Rodriguez,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/719IpQOO-EL.jpg,women,"Patchouli and Sandalwood, Amber and Musk",romantic,fall,night,NARCISO RODRIGUEZ
Monsieur Intense Gold,Alina Corel,https://m.media-amazon.com/images/I/61VhCXYifDL.jpg,unisex,"Rare Wood, Amber Fat, White Musk, Shepherd, Saffron, Teak Wood, Gaiak Wood",sensual,spring,night,Alina Corel
Charlie Gold,Revlon,https://m.media-amazon.com/images/I/61kutU5syAL.jpg,women,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords, Jasmine, Rose, Muget, Freesia, Cinnamon",sensual,fall,night,Revlon
Pour Homme,TED LAPIDUS,"https://m.media-amazon.com/images/I/61gWnky+xVL._AC_UF894,1000_QL80_.jpg",men,"Sandalwood, tonka bean, amber, patchouli, musk, oakmoss, cedar, tobacco, Pine tree, honey, orris root, jasmine, caraway, petitgrain, lily-of-the-valley, rose, brazilian rosewood, incense",energetic,spring,night,TED LAPIDUS
Fantasy,Britney Spears,"https://m.media-amazon.com/images/I/81dmMUEwDDL._AC_UF1000,1000_QL80_.jpg",women,"Luid Sandalwood, Jasmine, Amber, Vanilla, Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",cozy,fall,night,Britney Spears
Bloom Aqua Di Fiori,GUCCI,https://m.media-amazon.com/images/I/718KfpKluRL.jpg,women,"Jasmine, Tuberose",romantic,fall,night,GUCCI
Body Kouros,Yves Saint Laurent,"https://m.media-amazon.com/images/I/51NHR6l1MfL._AC_UF1000,1000_QL80_.jpg",men,"Benzoin, Chinese Cedar, Clary Sage",energetic,spring,night,Yves Saint Laurent
First,Van Cleef & Arpels,https://m.media-amazon.com/images/I/51czF0pfOAL.jpg,women,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver, Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-Of-The-Valley, Narcissus",romantic,fall,night,Van Cleef & Arpels
Narciso Rodriguez,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/719IpQOO-EL.jpg,women,"Patchouli, Sandalwood, Amber, Musk",sensual,winter,night,NARCISO RODRIGUEZ
