name,brand,image_url,gender,notes,season_tags,time_tags,brand_tag,activity,weather,desired_impression,emotion_cluster
1 Million Lucky,PACO RABANNE,https://www.sephora.com/productimages/sku/s2038354-main-zoom.jpg,men,"cashmir wood, cedar and honey, hazelnut, jasmine, oakmoss, patchouli and vetiver",spring,night,PACO RABANNE,work,rainy,"confident, fresh",1
Paradiso Assoluto,Roberto Cavalli,"https://m.media-amazon.com/images/I/91HRmV6OE5L._AC_UF1000,1000_QL80_.jpg",women,"sandalwood and patchouli, vanilla, wild jasmine and red lily",fall,night,Roberto Cavalli,casual,cold,"elegant, friendly",3
Royal Amber,S.T.Dupont,https://fimgs.net/mdimg/perfume/375x500.43063.jpg,unisex,"lemon, mint and wood moss, sandalwood and cedar",spring,night,S.T.Dupont,casual,hot,"confident, fresh",1
Seductive Blue,GUESS,"https://m.media-amazon.com/images/I/71Wrn+zAmmL._AC_UF1000,1000_QL80_.jpg",men,"blue coral aquaspace accord and geranium, cashmere wood, moss and rippled sand accord",spring,night,GUESS,casual,rainy,"confident, fresh",1
Uomo,Roberto Cavalli,https://m.media-amazon.com/images/I/81LiK-Yh6hL.jpg,women,"african orange flower, benzoin, tonka bean, vanille",fall,night,Roberto Cavalli,casual,cold,"elegant, friendly",1
cavalli,Roberto Cavalli,https://www.robertocavalli.com/dw/image/v2/BLPR_PRD/on/demandware.static/-/Sites-50/default/dwcd6f0431/images/zoom/SAW018SA026E0293_ECOM_DETAIL2.jpg?strip=false,women,"african orange flower, benzoin, tonka bean, vanille",fall,night,Roberto Cavalli,casual,cold,"elegant, friendly",1
The Scent,HUGO BOSS,https://images.hugoboss.com/is/image/boss/hbna58045781_999_200?$social_sharing$,women,"lavender, osmanthus flower, roasted cocoa",fall,night,HUGO BOSS,casual,any,"elegant, friendly",1
Gold Secret,DORALL COLLECTION,https://m.media-amazon.com/images/I/61TG3Kqcf8L.jpg,men,"labdanum and musk, lavender and cloves",spring,night,DORALL COLLECTION,date,any,"confident, mysterious",1
Bamboo,GUCCI,"https://m.media-amazon.com/images/I/71MWz+v1bJL._AC_UF1000,1000_QL80_.jpg",women,"casablanca lily and ylang ylang extracomoros, sandalwood",fall,night,GUCCI,casual,any,"elegant, friendly",3
M7 Oud Absolu,Yves Saint Laurent,"https://m.media-amazon.com/images/I/61tRclmMXVL._AC_UF1000,1000_QL80_.jpg",men,"amber, cistus, myrrh, oud, patchouli",spring,night,Yves Saint Laurent,date,cold,"confident, fresh",5
1881,CERRUTI 1881,https://m.media-amazon.com/images/I/91auQcINY0L.jpg,men,"cedar, lilyofthevalley and cassia, musk, oak moss, patchouli, pepper and pine tree, rose, sandalwood, vetiver, ylangylang",spring,day,CERRUTI 1881,date,rainy,"confident, fresh",2
IN 2 U MEN,Calvin Klein,https://i5.walmartimages.com/seo/Calvin-Klein-CK-IN2U-Him-eau-de-toilette-spray-5-0-oz_5a80f907-e329-4e62-b70e-96f11cc7d7b7.3f00ea1d8989be463da33f098ed09f2b.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,men,"cacao pod, musk, vetiver and cedar",spring,day,Calvin Klein,date,any,"confident, fresh",1
Royale Blue,Rasasi,"https://m.media-amazon.com/images/I/51FQPFvr9DL._AC_UF1000,1000_QL80_.jpg",men,"delicate musky sensual woods, distinct and exotic",spring,night,Rasasi,date,any,"confident, mysterious",1
Black Oud,MONTALE,https://montaleparfums.us/cdn/shop/products/black-aoud-noir_3f876d96-2fdd-4cdf-a182-d4a7789c61b6.png?v=1644350447,men,"agarwood, mandarin orange, musk, patchouli",spring,night,MONTALE,date,any,"elegant, friendly",5
L'Homme,Yves Saint Laurent,https://www.sephora.com/productimages/sku/s987925-main-zoom.jpg,men,"basil, cedar, spices, tahitian vetiver, tonka bean, violet leaf, white pepper",spring,night,Yves Saint Laurent,work,cold,"confident, fresh",1
Love Story,CHLOE,https://www.sephora.com/productimages/sku/s1659390-main-zoom.jpg,women,"black currant, cashmirwood, cedar, musk, orange blossom, patchouli, peach, rose, stephanotis",fall,night,CHLOE,date,any,"elegant, friendly",5
Narciso Rouge,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/71EpJ-MFWkL.jpg,women,"cedar wood, musk, tonka beans, vetiver",fall,night,NARCISO RODRIGUEZ,date,cold,"confident, mysterious",2
24 Pure,DORALL COLLECTION,https://m.media-amazon.com/images/I/71mWW+MCIHL.jpg,men,"amber, cardomon, cinnamon, coumarin, cumin, jasmin, lily, musk, nutmeg, pink pepper, red fruits, sandalwood, vanilla",spring,day,DORALL COLLECTION,date,cold,"confident, fresh",0
Romance,Rasasi,"https://m.media-amazon.com/images/I/71rx9MwsktL._AC_UF1000,1000_QL80_.jpg",women,"amber, cedar and sandalwood, jasmine, musk, powdery notes, rose",fall,night,Rasasi,date,cold,"elegant, friendly",0
Quatre,BOUCHERON,https://i5.walmartimages.com/seo/Boucheron-Quatre-Eau-de-Parfum-Perfume-for-Women-3-3-Oz_c2b82830-7b6b-4919-af94-4c3d2586a855.8fda5defc012b14c66692803f01ea91a.jpeg,women,"golden woods musk, rose absolute, sambac jasmine absolute",fall,night,BOUCHERON,date,any,"elegant, friendly",1
Narciso Rodriguez,NARCISO RODRIGUEZ,https://m.media-amazon.com/images/I/719IpQOO-EL.jpg,women,"amber and musk, patchouli and sandalwood",fall,night,NARCISO RODRIGUEZ,date,cold,"elegant, friendly",1
Monsieur Intense Gold,Alina Corel,https://m.media-amazon.com/images/I/61VhCXYifDL.jpg,unisex,"amber fat, gaiak wood, musk, rare wood, saffron, shepherd, teak wood",spring,night,Alina Corel,date,cold,"confident, mysterious",1
Charlie Gold,Revlon,https://m.media-amazon.com/images/I/61kutU5syAL.jpg,women,"caramel musk, cedar wood, cinnamon, freesia, jasmine, muget, rose, sandalwood, vanilla, woody accords",fall,night,Revlon,date,cold,"confident, mysterious",3
Pour Homme,TED LAPIDUS,"https://m.media-amazon.com/images/I/61gWnky+xVL._AC_UF894,1000_QL80_.jpg",men,"amber, brazilian rosewood, caraway, cedar, honey, incense, jasmine, lilyofthevalley, musk, oakmoss, orris root, patchouli, petitgrain, pine tree, rose, sandalwood, tobacco, tonka bean",spring,night,TED LAPIDUS,date,cold,"confident, fresh",4
Fantasy,Britney Spears,"https://m.media-amazon.com/images/I/81dmMUEwDDL._AC_UF1000,1000_QL80_.jpg",women,"amber, grapefruit blossom, jacaranda wood, jasmine, luid sandalwood, sweet napolitano cake, vanilla, verbena",fall,night,Britney Spears,date,cold,"pure, friendly",0
Bloom Aqua Di Fiori,GUCCI,https://m.media-amazon.com/images/I/718KfpKluRL.jpg,women,"jasmine, tuberose",fall,night,GUCCI,casual,any,"elegant, friendly",1
